0	1.02	1.45	1.45	0	0
1	1.02	1.45	1.45	0	0
2	1.02	1.45	1.45	0	0
3	1.02	1.45	1.45	0	0
3	2.6	5.8	5.8	3.2	3.2
4	2.6	5.8	5.8	3.2	3.2
5	2.6	5.8	5.8	3.2	3.2
6	2.6	5.8	5.8	3.2	3.2
7	2.6	5.8	5.8	3.2	3.2
8	2.6	5.8	5.8	3.2	3.2
9	2.6	5.8	5.8	3.2	3.2
10	2.6	5.8	5.8	3.2	3.2
11	2.6	5.8	5.8	3.2	3.2
12	2.6	5.8	5.8	3.2	3.2
13	2.6	5.8	5.8	3.2	3.2
14	2.6	5.8	5.8	3.2	3.2
15	2.6	5.8	5.8	3.2	3.2
15	2.9	6.8	6.8	3.9	3.9
16	2.9	6.8	6.8	3.9	3.9
17	2.9	6.8	6.8	3.9	3.9
18	2.9	6.8	6.8	3.9	3.9
19	2.9	6.8	6.8	3.9	3.9
20	2.9	6.8	6.8	3.9	3.9
21	2.9	6.8	6.8	3.9	3.9
22	2.9	6.8	6.8	3.9	3.9
23	2.9	6.8	6.8	3.9	3.9
24.4	2.9	6.8	6.8	3.9	3.9
24.4	3.38075	8.02206	8.19032	4.39602	4.6118
25	3.38068	8.02138	8.18988	4.39616	4.61126
26	3.38057	8.02024	8.18916	4.39639	4.61037
27	3.38047	8.01911	8.18843	4.39662	4.60947
28	3.38036	8.01798	8.18771	4.39685	4.60857
29	3.38025	8.01684	8.18698	4.39708	4.60767
30	3.38014	8.01571	8.18626	4.39731	4.60678
31	3.38003	8.01458	8.18553	4.39754	4.60588
32	3.37992	8.01345	8.18481	4.39777	4.60498
33	3.37981	8.01231	8.18408	4.398	4.60408
34	3.3797	8.01118	8.18336	4.39823	4.60319
35	3.3796	8.01005	8.18263	4.39846	4.60229
40	3.37905	8.00438	8.17901	4.39962	4.5978
45	3.37851	7.99872	8.17539	4.40077	4.59332
50	3.37797	7.99305	8.17176	4.40192	4.58883
60	3.37688	7.98172	8.16452	4.40422	4.57985
70	3.37579	7.97039	8.15727	4.40653	4.57088
80	3.37471	7.95906	8.15002	4.40883	4.5619
80	3.37471	7.95906	8.15002	4.40883	4.5619
90	3.37362	7.94773	8.14278	4.41113	4.55293
100	3.37253	7.93641	8.13553	4.41344	4.54396
110	3.37145	7.92508	8.12828	4.41574	4.53498
120	3.37036	7.91375	8.12103	4.41805	4.52601
130	3.36927	7.90242	8.11379	4.42035	4.51703
140	3.36818	7.89109	8.10654	4.42265	4.50806
150	3.3671	7.87976	8.09929	4.42496	4.49908
160	3.36601	7.86843	8.09204	4.42726	4.49011
170	3.36492	7.8571	8.0848	4.42957	4.48113
180	3.36384	7.84577	8.07755	4.43187	4.47216
190	3.36275	7.83444	8.0703	4.43417	4.46319
200	3.36166	7.82311	8.06306	4.43648	4.45421
210	3.36058	7.81178	8.05581	4.43878	4.44524
220	3.35949	7.80045	8.04856	4.44109	4.43626
220	3.43577	8.55895	8.55895	4.6439	4.6439
230	3.44175	8.57819	8.57819	4.6509	4.6509
240	3.44772	8.59743	8.59743	4.6579	4.6579
250	3.45369	8.61666	8.61666	4.6649	4.6649
260	3.45966	8.6359	8.6359	4.6719	4.6719
270	3.46563	8.65514	8.65514	4.6789	4.6789
280	3.4716	8.67438	8.67438	4.6859	4.6859
290	3.47758	8.69362	8.69362	4.6929	4.6929
300	3.48355	8.71286	8.71286	4.6999	4.6999
310	3.48952	8.7321	8.7321	4.7069	4.7069
320	3.49549	8.75133	8.75133	4.7139	4.7139
330	3.50146	8.77057	8.77057	4.7209	4.7209
340	3.50743	8.78981	8.78981	4.7279	4.7279
350	3.51341	8.80905	8.80905	4.7349	4.7349
360	3.51938	8.82829	8.82829	4.7419	4.7419
370	3.52535	8.84753	8.84753	4.7489	4.7489
380	3.53132	8.86677	8.86677	4.7559	4.7559
390	3.53729	8.886	8.886	4.7629	4.7629
400	3.54326	8.90524	8.90524	4.7699	4.7699
400	3.72375	9.13392	9.13392	4.93249	4.93249
410	3.73635	9.18511	9.18511	4.96166	4.96166
420	3.74895	9.23631	9.23631	4.99083	4.99083
430	3.76156	9.2875	9.2875	5.02	5.02
440	3.77416	9.3387	9.3387	5.04918	5.04918
450	3.78677	9.38989	9.38989	5.07835	5.07835
460	3.79937	9.44109	9.44109	5.10752	5.10752
470	3.81197	9.49228	9.49228	5.13669	5.13669
480	3.82458	9.54348	9.54348	5.16586	5.16586
490	3.83718	9.59468	9.59468	5.19504	5.19504
500	3.84978	9.64587	9.64587	5.22421	5.22421
510	3.86239	9.69707	9.69707	5.25338	5.25338
520	3.87499	9.74826	9.74826	5.28255	5.28255
530	3.88759	9.79946	9.79946	5.31173	5.31173
540	3.9002	9.85065	9.85065	5.3409	5.3409
550	3.9128	9.90185	9.90185	5.37007	5.37007
560	3.92541	9.95304	9.95304	5.39924	5.39924
570	3.93801	10.00424	10.00424	5.42841	5.42841
580	3.95061	10.05543	10.05543	5.45759	5.45759
590	3.96322	10.10663	10.10663	5.48676	5.48676
600	3.97582	10.15783	10.15783	5.51593	5.51593
600	3.97582	10.15776	10.15776	5.51602	5.51602
610	3.97815	10.17325	10.17325	5.52376	5.52376
