0 12
0 6.61465
1 6.58999
2 6.56564
3 6.5416
3 6.5416
4 6.51788
5 6.49448
6 6.47142
7 6.4487
8 6.42632
9 6.4043
10 6.38263
11 6.36133
12 6.34041
13 6.31986
14 6.29971
15 6.27994
15 6.27994
16 6.26058
17 6.24162
18 6.22308
19 6.20495
20 6.18725
21 6.16999
22 6.15317
23 6.13679
24.4 6.11449
24.4 6.11449
25 6.10502
26 6.08932
27 6.07373
28 6.05826
29 6.0429
30 6.02767
31 6.01255
32 6.01691
33 6.02022
34 6.02141
35 6.02027
40 5.98893
45 5.93633
50 5.86333
60 5.87278
70 5.92549
80 5.88898
80 5.88898
90 5.9904
100 6.19132
110 6.4227
120 6.38207
130 6.21307
140 6.02758
150 5.72684
160 5.02627
170 4.71549
180 4.59746
190 4.46643
200 4.31411
210 4.13734
220 3.96497
220 3.96497
230 3.8072
240 3.65202
250 3.49596
260 3.33219
270 3.1611
280 2.99353
290 2.84017
300 2.70685
310 2.59049
320 2.48716
330 2.39298
340 2.30512
350 2.22601
360 2.15884
370 2.10083
380 2.04593
390 1.99506
400 1.94919
400 1.94919
410 1.90918
420 1.87552
430 1.84555
440 1.8184
450 1.79383
460 1.76954
470 1.74989
480 1.74318
490 1.73839
500 1.73327
510 1.72762
520 1.72123
530 1.71396
540 1.70599
550 1.69733
560 1.68789
570 1.67628
580 1.65676
590 1.6318
600 1.60489
600 1.60489
610 1.57931
620 1.55815
630 1.54321
640 1.53122
650 1.51918
660 1.51938
670 1.51563
670 1.51563
685.3 0.855184
735.3 0.697939
771 0.62712
771 0.62712
785.3 0.603416
835.3 0.527174
885.3 0.441307
935.3 0.387759
985.3 0.30652
1035.3 0.243495
1085.3 0.196499
1135.3 0.153355
1185.3 0.115135
1235.3 0.0820886
1285.3 0.0543184
1335.3 0.0320406
1385.3 0.0154126
1435.3 0.00482671
1485.3 0.000244648
1535.3 0.00138
1585.3 0.00789004
1635.3 0.019613
1685.3 0.0368105
1735.3 0.0601559
1785.3 0.090065
1835.3 0.12697
1885.3 0.170981
1935.3 0.222576
1985.3 0.280878
2035.3 0.343812
2085.3 0.41073
2135.3 0.481805
2185.3 0.554913
2235.3 0.62988
2285.3 0.709891
2335.3 0.798541
2385.3 0.900566
2435.3 1.01312
2485.3 1.12904
2535.3 1.2482
2585.3 1.38727
2635.3 1.66136
2685.3 2.20358
2735.3 2.62204
2741 2.64175
2741 2.64175
2785.3 2.71337
2835.3 2.87925
2885.3 3.49107
2891 3.55488
2900 12
