 l   m    f
21 -20  -21
21 -19  -20
21 -18   92
21 -17  -20
21 -16   41
21 -15  -55
21 -14    8
21 -13   65
21 -12  -46
21 -11   -5
21 -10   46
21  -9   13
21  -8  -57
21  -7  -10
21  -6   19
21  -5   69
21  -4  -10
21  -3   -3
21  -2   21
21  -1   50
21   0   20
21   1   46
21   2   16
21   3  -59
21   4  -23
21   5  -13
21   6  -10
21   7   74
21   8   15
21   9   10
21  10  -19
21  11   37
21  12   30
21  13  -71
21  14   30
21  15   21
21  16   -6
21  17   10
21  18  -47
21  19   67
21  20   11
21  21  -18
22 -22  -83
22 -21   10
22 -20    5
22 -19   -7
22 -18   26
22 -17    9
22 -16   66
22 -15  -98
22 -14   20
22 -13   14
22 -12  -73
22 -11    5
22 -10   -1
22  -9    3
22  -8    4
22  -7   -3
22  -6   56
22  -5   27
22  -4  -31
22  -3   -6
22  -2  -14
22  -1   13
22   0  -10
22   1   69
22   2  -17
22   3   32
22   4  -10
22   5  -22
22   6   -3
22   7   12
22   8    2
22   9  -47
22  10    6
22  11   10
22  12   16
22  13  -25
22  14   39
22  15  -16
22  16  -38
22  17    8
22  18  -54
22  19  -39
22  20   75
22  21  -68
22  22   50
23 -23   56
23 -22  -36
23 -21   44
23 -20    6
23 -19  -31
23 -18  -11
23 -17  -65
23 -16   24
23 -15   27
23 -14  -30
23 -13   47
23 -12   13
23 -11  -55
23 -10    6
23  -9  -38
23  -8  -13
23  -7   -6
23  -6  -34
23  -5  -20
23  -4  -60
23  -3   12
23  -2   17
23  -1   36
23   0  -67
23   1  -32
23   2   25
23   3   11
23   4  -54
23   5    2
23   6   15
23   7  -10
23   8   19
23   9  -19
23  10   -8
23  11  -60
23  12   13
23  13   24
23  14   17
23  15   -8
23  16    3
23  17   34
23  18  -30
23  19  -29
23  20   71
23  21   -6
23  22   -8
23  23   71
24 -24   65
24 -23   38
24 -22   61
24 -21  -37
24 -20  -36
24 -19   17
24 -18  -32
24 -17  -41
24 -16   43
24 -15   41
24 -14   -6
24 -13   29
24 -12  105
24 -11  -23
24 -10  -43
24  -9  -14
24  -8   26
24  -7   -6
24  -6  -22
24  -5    3
24  -4    3
24  -3  -14
24  -2   16
24  -1   59
24   0  -26
24   1  -22
24   2   -1
24   3   -3
24   4   12
24   5   14
24   6   24
24   7   27
24   8  -37
24   9   -4
24  10   48
24  11  -28
24  12   -3
24  13   24
24  14    8
24  15   22
24  16  -31
24  17   50
24  18  -30
24  19   63
24  20   21
24  21   -6
24  22    1
24  23    8
24  24  -62
25 -25  -73
25 -24  -34
25 -23    3
25 -22   20
25 -21  -19
25 -20   17
25 -19   28
25 -18    2
25 -17   15
25 -16   -5
25 -15   -7
25 -14   28
25 -13  -13
25 -12   51
25 -11  -13
25 -10    7
25  -9   88
25  -8    1
25  -7  -15
25  -6   -7
25  -5   57
25  -4  -26
25  -3   16
25  -2    9
25  -1   12
25   0   16
25   1   22
25   2   23
25   3  -18
25   4  -25
25   5   11
25   6   -6
25   7   33
25   8  -28
25   9  -35
25  10   -5
25  11  -19
25  12   14
25  13   41
25  14   -8
25  15   -0
25  16  -11
25  17   11
25  18    2
25  19   28
25  20   15
25  21  -30
25  22  -53
25  23   -3
25  24  -36
25  25  -28
26 -26  -14
26 -25  -11
26 -24   -2
26 -23   -2
26 -22   -5
26 -21   66
26 -20   -4
26 -19    9
26 -18    5
26 -17  -15
26 -16  -18
26 -15   -9
26 -14   36
26 -13  -12
26 -12   -1
26 -11   13
26 -10  -36
26  -9   38
26  -8   19
26  -7   -1
26  -6   26
26  -5    2
26  -4   23
26  -3  -12
26  -2  -16
26  -1   12
26   0  -20
26   1    2
26   2   38
26   3    2
26   4  -27
26   5  -23
26   6  -19
26   7   19
26   8  -37
26   9   72
26  10   17
26  11    0
26  12   17
26  13    2
26  14   10
26  15   -3
26  16   -1
26  17  -19
26  18    7
26  19  -16
26  20    6
26  21  -68
26  22   17
26  23  -28
26  24  -13
26  25   -4
26  26   41
27 -27    6
27 -26  -26
27 -25   13
27 -24  -55
27 -23  -19
27 -22   10
27 -21    3
27 -20   85
27 -19  -29
27 -18   -9
27 -17  -18
27 -16  -28
27 -15   -6
27 -14    4
27 -13  -50
27 -12  -15
27 -11   38
27 -10   -1
27  -9   -8
27  -8   -5
27  -7   15
27  -6    6
27  -5   -1
27  -4   -9
27  -3   26
27  -2   -6
27  -1   33
27   0   47
27   1   31
27   2  -18
27   3   50
27   4   31
27   5  -24
27   6   12
27   7   21
27   8   -2
27   9   10
27  10   14
27  11  -21
27  12  -19
27  13  -44
27  14   32
