    Lon.    Lat. Zr(m)  E(m)
 -18.400  69.979   991    86
   2.990  68.564  1473    48
   3.300  68.394  2000    58
   3.515  68.276  2443    60
  -0.675  67.708  1215   121
  -0.120  64.180   727   142
 -23.285  63.705  3232     0
  -0.120  64.180   727   142
 -36.111  62.676  1516    20
 -23.330  62.986  2191    25
 -39.500  61.757  1875    37
 -39.205  61.629  1641    34
 -34.996  62.317  1203    20
 -34.014  62.114  1131    16
 -33.000  62.073  1448     7
 -31.998  62.061  1533     6
 -31.000  62.006  1635     5
 -30.000  61.937  1675     5
 -29.000  61.876  1854     3
 -28.000  61.816  1826     2
 -57.525  60.526   -24    63
 -38.705  61.410  1396    31
 -38.000  61.126  1097    31
 -37.010  60.786  1042    21
 -36.016  60.575  1167    12
 -35.000  60.532  1321     7
 -33.999  60.521  1342     5
 -33.470  60.502  1215     4
 -28.792  61.275  2245    72
 -27.001  61.291  2028     5
 -23.000  61.433  1672    15
 -22.001  61.340  1704    21
 -20.999  61.257  1644    19
 -19.967  61.130  1318    27
 -19.018  60.748  1474    23
 -32.969  60.474  1404     4
 -32.001  60.421  1386     3
 -31.000  60.369  1735     2
 -30.001  60.316  1729     2
 -29.002  60.253  1847     1
 -28.000  60.200  1726     3
 -26.999  60.142  1560     7
 -26.000  60.046  1410     8
 -25.000  59.956  1504     8
 -24.000  59.891  1616    12
 -23.000  59.829  1417    21
 -22.291  59.774  1254    22
 -18.539  60.470  1647    18
 -18.215  60.219  1735    15
 -59.500  59.311  1422    61
-140.050  58.333  -359   132
-175.005  56.509  -665   131
-139.967  57.317  -352   126
 -31.780  57.476  1521     0
 168.390  56.393  -211    82
-176.715  55.622  -614   126
-176.000  55.987  -576   123
-175.260  56.375  -610   126
-173.865  56.177  -731   134
-172.290  55.647  -642   120
-178.692  55.175  -308   116
-177.955  54.962  -834   139
-177.212  55.352  -700   130
-176.500  54.667  -372   126
-135.633  54.533   185   125
-135.317  54.633   221    79
 -42.908  54.775   920    83
-176.067  53.900  -202   115
-135.992  54.200   618   105
 177.442  53.392  -204   111
-175.950  52.642   309   101
-157.100  53.233     5    57
-141.167  52.600   260    53
-138.750  53.133    17    80
-133.900  53.400  -828   122
-154.467  51.500   234    66
-148.367  50.733   119    28
-145.183  51.383   223    31
-169.800  47.933   -93    41
-174.817  46.883  -388    22
-126.067  46.933  -314   112
  -9.850  46.892   -62    85
-143.183  45.567   -38    46
-128.800  45.867   398    76
-127.033  46.500   237   104
-125.975  46.233  -191   105
 -15.350  46.142   995   107
-144.466  45.025     1    54
-132.633  44.700   -95    66
-163.783  44.300  -184    20
-143.117  43.817  -120    30
-140.633  43.967  -206    20
-137.100  43.750    92    48
-125.833  44.108   121    67
-134.450  43.000   -13    45
-160.650  40.983   234    57
-128.409  40.900   292   110
-126.667  40.967   319   100
-125.792  40.975   652    82
 -18.958  40.558  -260    95
 145.375  39.875  -165    44
 146.000  39.783   -22    44
-172.983  39.700  -240    37
-136.267  40.300  -473    26
-128.183  40.067  -380    58
 -67.122  39.825 -1020   220
 -65.270  40.238  -370    74
 -58.725  39.562  -940    52
-136.167  38.900     5    16
-128.000  38.583  -221    47
-124.917  39.150    31    96
 -70.720  38.569  -474   173
 -70.004  38.828  -319   170
 -68.945  39.158  -278   156
 -68.210  39.402  -297   154
 -58.980  38.999  -779    43
 -39.042  38.750    23    74
 -37.125  39.125   629   123
 -35.292  38.750  1034    94
 171.992  37.700  -262    45
-125.019  38.144  -418    72
 -71.914  38.018  -480   175
 -71.237  38.116  -484   168
 -69.990  37.540  -252    69
 -66.175  38.233   302   123
 -64.555  37.516  -119    23
 -64.000  37.704   -80    21
 -63.000  37.733  -245    25
 -62.290  37.554  -705    42
 -60.820  37.612  -680    35
 -60.000  37.900  -213    17
 -59.349  38.229  -505    29
-157.033  37.150  -241    39
-143.117  37.250  -218    32
-125.867  37.467  -344    64
 -72.948  37.109  -580   185
 -72.474  36.957  -468   154
 -70.575  37.260  -281    69
 -69.224  36.824  -193    50
 -67.520  36.508   190    18
 -67.000  36.685  -299    31
 -66.000  37.025  -269    31
 -65.050  37.348  -124    25
 -61.850  37.443  -753    43
 -61.310  37.440  -397    25
  17.859  36.004 -1283   228
-125.889  35.622  -156    39
-125.033  35.517  -187    12
 -72.290  35.660  -438    86
 -69.945  36.064  -148    48
 -68.898  36.216  -118    40
 -68.025  36.337    11    28
-142.517  35.083  -101    28
-125.100  34.978  -187    48
-123.267  35.150  -231    67
 -73.988  35.012  -643   155
 -69.420  34.779  -366    22
 -26.042  35.292  1393    37
-173.050  34.333   151    50
-134.250  34.450  -348    37
-126.033  34.483  -322    43
-122.133  34.367   308    71
 -74.761  33.686  -971   152
 -74.012  33.992  -996   122
 -70.156  34.267  -397    24
 -69.225  33.908  -199    15
 -63.033  34.467   138   109
  28.103  33.138 -2204   392
 152.508  32.521  -396    44
-127.067  32.833    76    42
-125.933  32.983    64    53
 -75.638  32.652 -1018   197
 -74.968  32.885 -1041   130
 -69.940  33.005  -470    23
 -57.500  32.858   119   100
 -53.433  32.867   -47   107
 151.758  32.488  -448    33
-172.067  32.133  -241    42
-154.650  32.300  -276    30
 -75.078  32.354  -896   131
 -73.955  31.602  -801    52
 -71.778  32.446  -735    35
 -70.615  32.446  -749    33
 -32.708  31.883   869    47
 -31.142  31.850   527    60
-135.400  31.083   423    71
-120.900  31.300    49    31
-120.125  30.925   146    33
 -75.012  30.994   -68    94
 -74.330  31.410  -652    62
 -72.950  30.728  -817    43
 -66.005  30.722    71    12
 135.067  29.742  -822    53
-152.675  30.450   -61    27
-121.733  29.867   413    24
 -75.233  30.238  -148    58
 -74.000  30.132  -362    65
 -73.425  30.458  -725    50
 136.533  28.750  -663    37
-153.517  28.750   184    79
-152.467  29.333  -374    22
-117.583  29.133   370    68
-117.408  28.775   281    49
 -76.013  29.058  -361    35
 -74.775  28.633  -302    41
 -74.000  29.010  -355    53
 -73.340  29.331  -303    70
 -64.650  29.423   148     8
-174.175  28.338   -94    74
-127.417  28.083  -238    26
 -75.798  28.087  -345    37
 -75.254  28.026  -192    32
-169.083  26.700   792    27
-121.583  27.400  -238    20
 -75.995  27.344  -365    43
 -74.721  27.013  -139    39
 -74.148  26.790    13    42
 -70.225  27.497  -475    18
 -69.145  27.369  -414    17
-168.833  26.067  1404    67
-163.700  25.500   502     8
 -74.115  26.342   -27    23
 -72.450  25.733  -493    83
 -70.150  26.133  -725    82
 -67.592  25.767  -432    66
-178.017  25.442   164    40
-160.317  24.667   896    21
-134.567  24.767   427    59
 -92.410  25.130 -1857   347
 -90.585  25.317 -1371   205
 -90.490  25.106 -1635   225
 -69.258  24.658  -586    82
 -56.000  24.698  -829     5
 -55.370  24.532  -661     2
 128.117  23.858  -507    44
 146.083  23.575  -636    40
-165.483  24.342   492    99
-160.483  23.958   683     0
-156.133  23.617  1376    24
-116.633  24.500   260    31
 -54.875  24.401  -366     2
 -51.460  23.508  -236     1
 130.967  23.383  -111    22
 138.775  23.442  -489    32
-156.583  23.100  1189    12
-155.900  22.800  1200    12
-151.000  23.000  -266    54
-148.050  22.967    71    65
-137.500  23.067   -98    34
 -58.250  23.492  -343    73
 -50.000  23.131   109     1
 -48.997  22.878    67     1
 -48.000  22.795   187     1
  65.505  22.488  -235   190
-166.117  22.500   593    51
-155.217  22.217  1185    30
-116.050  21.967    77    36
 131.883  20.100  -747    42
-161.417  20.300   821     5
-160.000  19.542   415    46
  67.485  18.970   642    50
 138.350  19.050  -741    12
-177.317  19.033   225    37
-157.700  18.867   687    71
-128.500  19.367    10    35
  69.705  17.619   507    46
 140.992  18.092  -633    51
 -57.375  17.942  -573    53
  69.945  16.826   599    30
 -23.495  17.296   843    82
  53.470  16.177  1414    61
  69.800  16.426   607    25
 136.783  15.625  -427    34
  51.542  14.583  1514    88
-151.900  14.683  -295    57
-124.200  14.967    46    14
  52.017  14.017   927    65
  53.067  13.692  1069    33
  69.415  13.730   393    14
  69.580  13.786   623     8
 130.525  14.158 -1055    23
  46.300  12.908  1824    75
  69.845  12.602   427     9
 -24.354  13.479   372    50
  44.308  11.767  2224    35
 168.367  12.450   651    59
-111.050  12.217   260    91
-103.800  11.633   154    46
 -98.783  12.183  -192    67
  45.008  10.883  1924    63
  69.377  11.317   182    11
  69.865  10.985   406     6
 161.583  11.333  1019    80
 165.167  11.200   522    67
-145.883  10.717   296    46
-104.767  10.883   204    41
  70.143   9.907   250     8
  70.755   9.596   401     9
 -93.483   9.800   427    33
  70.190   9.460   288     6
  70.440   8.177   697     7
 120.283   7.575  -808    65
  70.667   7.367   866    95
 122.142   5.558  -824    90
-123.983   5.783   -75    71
 122.833   4.083 -1254   101
-115.683   4.067   -75    62
  -4.200   3.900  -599   167
 123.625   2.925 -1597   100
 138.167   2.908   -57    42
  -2.765   2.909  -911    43
 140.333   2.408   134    37
 143.267   1.858   -71    43
 -19.658   2.450   252    67
 169.183   0.783   101   106
-116.083   1.450   231    78
 -39.083   0.983   596    82
-123.433   0.183  -148    57
 -23.858  -0.075   160    67
 -22.683   0.175   198    25
-131.517  -1.383  -248    40
 -40.067  -1.117    30   132
 -26.667  -1.267   522    68
  47.033  -2.917  -119    81
  49.600  -3.467   795    56
  51.483  -3.600   620    86
-114.217  -3.617  -262    67
  54.595  -5.429  1244    17
  58.483  -5.333   911    42
  59.217  -5.417  1018    75
  60.033  -5.450   550    40
  74.300  -5.367   698    41
  75.083  -5.350   470    56
  54.836  -5.958   806    27
  63.067  -5.517  1142    70
  63.733  -5.550   325    38
  69.975  -5.658   301    93
  54.640  -6.647   757    22
-118.667  -7.333   -96    66
 174.933  -9.017   162    35
  56.500  -9.833  1233    39
  57.117  -9.967  1428    95
  57.883 -10.083  1488    39
-110.633  -9.667   362    64
 153.811 -10.648   -69     0
-142.417 -11.333   433    20
-133.583 -10.750   618    30
 109.617 -11.667   -35   102
 115.450 -11.883   314    40
 119.120 -12.488   254     8
-128.950 -11.767   328    44
  93.217 -13.150  -169    11
 115.350 -12.850    67    69
 149.917 -12.583  -781   104
-143.550 -12.783   396    21
-108.500 -13.467  -150    53
  90.800 -13.833   -10    18
 115.550 -13.783  -656    56
 118.433 -13.517  -439    48
 154.109 -14.351  -371    36
-119.167 -14.267   271    54
 -79.067 -13.583   218    38
 108.150 -14.950  -157    41
 113.480 -15.380  -319    19
 114.009 -15.398   -39    11
 150.622 -14.804  -322   176
 153.440 -15.046  -168    16
 153.808 -14.861  -332    21
-136.100 -15.033     9    42
-112.083 -14.733    60    39
  89.317 -16.417  -380    59
 114.223 -15.588  -294    10
-168.517 -16.267  -505    76
-160.983 -17.467   487    46
 112.540 -17.799   970     4
-176.350 -18.317   653     0
-158.667 -17.533   313    27
-141.433 -18.467   168    60
  38.255 -18.717    40   234
-176.440 -18.573   706     0
 -81.550 -18.983   418    70
 162.320 -20.010    44    50
 162.741 -19.900   129    47
-175.940 -19.515   299     0
-113.750 -20.300  -203    71
  97.200 -20.717  -288    27
 -37.440 -21.475   128    46
  37.812 -22.141   440    77
 178.550 -21.917  -907    98
-147.633 -21.700   347    19
 -79.067 -21.550   365    29
 -38.536 -22.268   592    54
 -37.321 -21.656   146    43
  10.282 -23.146  -219    54
  10.802 -22.999   -51    62
 106.390 -23.224  -183     6
 106.525 -23.274  -472    18
 111.590 -22.698  -273    22
 164.950 -23.000   418    99
-117.833 -23.267   336    67
 -38.575 -22.533   717    51
  10.325 -23.597  -315    57
  36.450 -24.023  1571    78
 166.039 -24.321   114    55
 170.833 -23.900  -510    61
 171.800 -23.533 -1145    79
  57.450 -24.567   364    50
 104.200 -25.050   564    41
 107.790 -25.330  -340     5
  11.395 -26.202  -227    44
  11.989 -25.950   -56    59
 -36.660 -26.223    21    32
 -36.360 -26.228   -38    36
  11.420 -26.672  -247    43
  11.535 -26.545  -199    47
  58.167 -26.933  -359    45
 110.115 -27.083  -636    10
 155.867 -27.100  -398   114
 -88.817 -27.067   429    18
 -45.600 -27.286   378   140
 -45.337 -27.400    78   137
 156.100 -27.783   -88   134
-106.933 -27.933   314    58
 -96.317 -28.017   570    20
 -45.405 -27.542   113   131
  37.146 -29.492  -216    64
 112.535 -29.258  -266    21
  13.103 -30.066    60    87
  33.375 -30.271   931    61
  33.680 -30.383   892    59
 111.517 -29.700    25    49
 113.598 -30.277   263    12
 176.000 -29.500  -317   101
 176.767 -29.917  -658    59
  13.412 -31.158   138    73
  13.863 -31.208   138    87
  61.867 -31.483   296    51
  62.600 -31.350   687    27
 113.411 -31.229   -26    14
  13.485 -31.717   161    71
  13.934 -31.729   241    81
  32.490 -31.808   -24   115
  61.500 -31.540   836    44
 111.400 -32.476     2    13
 111.680 -32.486    66    13
 113.158 -32.097   376     7
 113.805 -31.641    36    22
  14.350 -32.531   386    94
  31.263 -33.367    61   106
  31.943 -33.027   559   103
  62.075 -33.092   -40    36
 102.750 -32.750   325    25
 103.500 -33.017   290    77
 109.319 -32.758  -104    13
 110.310 -32.508     9     8
  16.004 -34.078   194    36
  96.017 -33.800   -81    45
 105.917 -34.183  -323    43
  28.482 -35.487   126   108
  29.089 -35.369   -25    92
 111.065 -35.355   123    13
 112.037 -35.372    -8    10
  73.667 -35.767   224    73
 111.490 -35.840   218     2
 111.590 -35.663    38     6
  76.383 -36.850   743    79
  78.517 -37.250   668    42
 133.980 -36.894  -933   132
 134.634 -37.125  -991   166
  87.650 -37.933   -51    36
  63.967 -39.750   271    54
-132.883 -40.600   -98    15
 -96.083 -42.733  -263    55
-104.433 -43.767   185    58
-110.617 -44.583  -161    26
 -45.135 -55.365  -764    16
 -44.825 -56.006  -235    11
 -44.565 -56.544   -29    17
  11.485 -62.489   409     4
  11.855 -61.991   470     4
  11.105 -63.001   147     3
  10.455 -63.876  -112     7
  10.620 -63.654   -19     6
  15.410  74.310   471   184
   9.858  73.175  1190   146
  13.460  72.090   948   187
 -11.996  71.943   985    76
  15.910  70.380   899   145
