    Lon.    Lat. Zr(m)  E(m)
   7.485  69.997   551   104
   8.007  69.799   689   101
   8.520  69.506   681    80
  10.315  69.929   426   102
  10.975  69.677   495   103
 -15.833  69.871  1776    21
 -15.043  69.810  1762    27
 -14.030  69.701  1887    21
 -13.000  69.564  1842    32
 -12.480  69.503  1899    21
 -10.330  69.516  2013    53
   7.090  69.311   974    72
   9.015  69.271   450   104
   9.595  68.996   406   111
  11.470  69.489   539   102
  11.820  69.355   559   104
 -64.540  69.467  1011   137
 -63.985  69.325   792   162
 -63.000  69.074   355   173
 -62.000  68.819   387   184
 -61.120  68.595   619   170
 -15.665  69.462  1723    31
 -11.975  69.443  1774    43
 -10.995  69.280  1769    61
 -10.425  69.377  1922    61
   0.980  67.714  1315    91
 -60.625  68.469   790   175
 -60.000  68.309  1172   198
 -59.390  68.154  1416   189
 -18.116  67.820  1828    35
 -18.525  66.813  1766    78
 -18.375  67.183  1958    61
   1.075  65.910  1353    81
   1.610  65.570  1292    91
 -33.595  65.509   532   364
  -3.700  66.206   634   100
  -3.000  65.971  1038   100
  -2.050  65.652  1082   104
   0.000  64.963  1225    90
   0.792  64.697   995   104
   2.101  65.259  1404    75
 -33.535  65.484   511   363
 -33.000  65.261   526   290
 -32.000  64.844   935   137
 -31.335  64.566  1371    64
  -1.545  65.482  1250   101
  -1.000  65.299  1069   110
   0.000  64.963  1225    90
 -31.010  64.431  1146    66
 -23.605  63.548  2072   106
 -38.665  63.019   778   222
 -37.933  62.780   779   192
 -37.261  62.578  1018   160
 -24.640  63.040  2107    78
 -23.998  63.219  2138    84
 -36.782  62.408   903   143
 -36.157  62.220   958   114
 -26.750  61.737  1654    47
 -25.844  62.064  2481    45
 -25.067  62.090  2257    57
 -24.270  61.613  2013    46
 -57.215  60.794   762    97
 -26.233  61.451  1807    23
 -23.965  61.466  1780    52
 177.181  59.864  -509   145
 -59.720  59.903   247   182
 -59.082  59.604   415   156
 -57.870  60.227   480   130
 -56.875  59.524   301   130
 -51.790  59.883   805    81
 -51.205  60.046   916    83
 -20.905  59.785  1150    87
 -20.410  59.547   972   118
 177.190  58.999  -362   156
 -59.079  59.395   307   185
 -57.595  59.147   670   109
 -57.221  59.343   524   126
 -42.655  59.099   418   202
 -42.000  58.927   466   141
 -41.000  58.664   631   106
 -40.440  58.516   644    97
 -20.205  59.448   759   137
 177.201  57.998  -605   132
-178.252  57.923  -502   161
-176.975  57.618  -488   167
 -55.971  57.773   328   143
 -55.410  57.629   388   124
 -40.270  58.472   497    98
 -32.737  57.753  1257     7
 -32.230  57.607  1631    14
 177.207  57.420  -610   124
 -55.793  57.298   470   135
 -54.993  57.069   845   115
 -54.185  56.971  1020   114
 -24.823  57.229  1275    64
 -24.070  56.944  1128    81
 -23.305  56.918  1212    59
 -53.745  56.299   394   115
 -53.255  55.867   363   121
 -23.845  56.491  1002   117
-163.585  52.542  -425    28
-163.525  52.452  -220    32
-163.475  52.377  -102    27
-171.835  50.526   -46    16
-171.660  50.251   223    14
 -44.685  50.343   922   111
 -44.480  50.375  1093    92
 -41.375  48.539   487    95
 -14.719  48.599   364    56
 -14.038  48.792   247    84
-130.735  48.359   389    62
-129.855  48.166   272    63
-129.000  47.979   350    64
-128.115  47.785   264    64
-127.415  47.632   114    74
 -42.025  48.392   294   120
-130.855  47.312   577    60
-129.911  47.060   485    59
-128.821  46.701   182    61
-128.286  46.593    85    67
  -7.400  46.513 -1158   146
-127.955  46.394   114    67
 -45.115  45.547   564   115
 -43.516  46.318   724   140
 -43.159  46.102   493   131
  -7.775  46.091 -1108   120
  -7.455  46.451 -1134   125
-131.545  45.294   177    60
-131.230  45.217   366    58
-129.655  44.834   235    61
-129.155  44.713   119    63
-126.590  44.640   418    69
-126.160  44.643   112    81
 -46.670  44.579   307   146
 -44.765  45.371   294   141
 -44.000  44.987   313   124
 -43.485  44.728   501    99
  -8.583  44.837 -1263    97
  32.214  43.787 -2441   533
  32.680  43.592 -2940   561
 -53.280  43.535  -339   237
 -47.086  43.575  -652   134
 -45.916  44.174   238   102
 -45.349  43.867   135   107
  32.156  43.064 -2125   493
  33.041  43.306 -2885   552
  34.000  42.885 -2517   503
  37.270  42.663  -265   246
  37.982  42.896  -917   327
  38.784  42.639 -1066   351
 138.205  42.614  -740    92
 -58.535  42.983 -1545   276
