    Lon.    Lat. Zr(m)  E(m)
   3.210 -17.904  -390     8
   3.550 -17.988  -392     6
-150.690 -18.390  1112     3
-150.390 -17.795  1501     7
   7.165 -18.904  -578    19
   8.001 -19.083  -470    20
   8.550 -19.190  -419    22
-150.780 -18.570  1068     3
-150.955 -19.720   944     0
  43.088 -24.254   570    51
  43.335 -24.649   518    42
 -11.745 -25.965  -170     2
  -3.345 -25.845  -110     2
 155.735 -29.583  -316    43
 -73.520 -30.999   451     9
 123.130 -36.467  -600    16
 124.100 -36.432  -259     7
 127.398 -36.067  -627    14
 128.074 -36.243  -798    18
 130.013 -36.414  -945    22
 130.548 -36.468 -1068    26
 -31.210 -36.485   353     9
 123.335 -36.629  -442    11
 127.215 -37.000  -656     9
 128.056 -36.931  -712    11
 130.903 -36.877  -946    19
 131.810 -37.020 -1033    21
 132.726 -37.114 -1075    22
 136.925 -37.484 -1231    30
 -30.815 -36.553   306     8
 -30.000 -36.694   279    10
 -29.140 -36.858   152     7
 127.054 -37.749  -744     2
 130.173 -37.696 -1085    12
 131.481 -37.923 -1390    18
 131.541 -37.673 -1327    19
 133.015 -37.758  -938     9
 138.076 -38.192  -818    12
 138.387 -38.619  -641     7
 139.500 -39.499   -11     0
 139.900 -39.879  -541     9
 150.578 -40.027  -512    53
 129.000 -41.166  -803     0
 140.433 -40.687  -739     9
 141.700 -41.085  -643    13
 127.350 -42.499  -723     0
 127.806 -42.060  -802     0
 131.490 -41.500  -514     0
 134.000 -41.850  -669     0
 134.819 -42.193  -638     0
 142.157 -42.078  -507     8
 142.799 -42.288  -498    10
 166.000 -41.830   114    40
 127.190 -42.501  -730     0
 135.051 -43.000  -621     0
 141.430 -42.654  -352     5
 141.585 -42.555  -167     6
 143.201 -42.852  -360     8
 143.739 -43.268  -351    15
 135.124 -44.000  -496     0
 143.351 -44.046  -443     7
 143.703 -44.035  -433     8
 152.015 -43.910    29    27
 153.000 -43.910  -105    23
 153.995 -43.910   -51    17
 163.025 -44.007    80    12
 128.430 -45.201  -620     0
 135.195 -45.000  -471     0
 144.151 -45.171  -455     5
 149.470 -45.328    93    29
 149.540 -45.261   155    27
 151.485 -44.607  -231    43
 151.830 -44.761  -159    32
 163.390 -44.521   -36    16
 128.483 -45.644  -541     0
 128.972 -45.840  -684     0
 129.918 -46.036  -618     0
 135.268 -46.000  -439     0
 144.353 -45.945  -306     4
 144.578 -45.955  -177     3
 150.265 -46.433  -198    36
 150.645 -46.371   194    12
 130.126 -46.999  -551     0
 135.305 -46.514  -203     0
 144.787 -46.781   -45     4
 130.240 -47.998  -521     0
 151.890 -47.823     1    20
 154.149 -48.495   200    17
 154.535 -48.486   168    15
 130.298 -48.507   388     0
 147.295 -49.224   -18     7
 153.057 -49.008   307    12
 154.105 -48.735   326     9
 154.744 -48.708   367     4
 156.195 -49.241  -335    12
 162.280 -49.425   285     2
 -51.605 -48.716 -1187    13
 -51.317 -48.918 -1333    20
 -45.815 -49.107  -826     9
 -44.775 -49.071  -612     5
 -44.410 -49.365  -612     4
 115.520 -50.079  -320     0
 153.310 -49.838  -247    16
 154.029 -49.939    50     9
 154.641 -49.806  -187    10
 156.475 -49.527  -337    18
 156.970 -50.031  -232    13
 158.325 -50.170   100     5
 158.550 -50.449   194     6
 160.460 -50.473   329     0
 161.000 -50.162    94     4
 161.825 -49.687   171     2
 150.803 -50.971   591    11
 157.465 -50.536  -404    19
 157.930 -51.010  -107     9
 158.880 -50.858   492     2
 160.015 -50.730   326     1
 -39.690 -51.358  -171    73
 -39.325 -51.089   -68    52
 151.585 -52.357   436     7
 -40.820 -52.191  -511    95
 -40.195 -51.731  -339    86
 153.180 -53.411   -15     6
 153.748 -53.269   142     5
 152.775 -53.524   -19     6
 157.885 -54.485  -462     8
 158.170 -54.610   -77     5
 159.383 -55.128  -430     1
 159.800 -55.310   -95     4
 156.845 -56.500   181     5
 159.355 -56.500   -65     9
 159.790 -56.500     2    15
 -29.895 -57.483  -110     0
 -29.000 -57.444  -243     9
 -28.155 -57.407   139    11
 -22.945 -57.173  -286     9
 -22.000 -57.130   -60     8
 -32.590 -57.600    59     8
 -32.000 -57.574  -278     4
 -31.000 -57.531  -281     2
 -30.400 -57.505  -185     0
 -31.975 -59.093   487     1
 -31.000 -59.197   -21     1
 -30.000 -59.303   232     1
 -29.275 -59.380   941     0
  90.875 -60.457  -232    43
  97.236 -60.404  -284    37
 132.503 -60.456  -718    20
 -61.395 -60.466   230     4
 -55.710 -60.259  -333    29
 -22.920 -60.049   119     2
 -22.305 -60.114   168     1
  -2.055 -60.026  -566    11
  46.870 -61.225  -573    21
  97.266 -61.000  -336    46
 107.335 -61.282  -420    19
 112.231 -61.208  -715    35
 126.018 -61.278  -997    45
 131.460 -61.460  -941    46
 140.040 -61.135  -281    20
 140.845 -61.082  -372    22
 157.255 -61.172   566     0
 157.610 -61.421   472     0
 168.235 -61.069   383     6
 169.000 -61.299   766     1
 169.580 -61.473   569     3
 -61.115 -60.692   370     5
  25.120 -62.463  -696    28
  28.491 -62.312  -915    33
  40.016 -61.959  -568    22
  46.833 -62.007  -444    41
  53.345 -62.320  -768    34
  53.629 -62.106  -765    33
 107.190 -61.799  -498    27
 112.264 -61.515  -972    48
 117.454 -61.609  -985    49
 126.073 -62.001  -901    62
 131.480 -62.020  -689    53
 140.670 -61.557    54    16
 141.812 -61.899  -275    23
 150.240 -62.057   373     4
 151.755 -62.435   210     4
 158.115 -61.776   514     0
 158.825 -62.274   580     0
 170.144 -61.643   779     2
 170.973 -61.873   850     3
 172.000 -62.151   210     3
 172.565 -62.304   536     0
  24.330 -63.313  -843    35
  24.795 -62.812  -681    27
  34.211 -63.108  -924    40
  41.775 -63.337  -560    29
  46.788 -62.935  -420    67
  57.045 -63.075  -458    35
 126.115 -62.549  -702    66
 131.505 -62.720  -912    66
 147.332 -63.092   102    14
 152.260 -62.560   143     2
 152.650 -62.658    71     1
 159.320 -62.622   556     0
 159.995 -63.095   625     0
 163.145 -63.467   552     0
 164.000 -63.387   661     0
 164.540 -63.336   596     0
 166.435 -63.033   976     0
 166.750 -63.295  1182     0
  23.360 -64.356  -574    30
  23.825 -63.856  -718    33
  25.437 -64.299  -866    45
  27.259 -64.133 -1209    59
  28.417 -64.008 -1228    56
  34.306 -63.840  -886    43
  39.105 -64.464  -817    45
  40.081 -64.382  -693    44
  41.000 -64.099  -564    41
  41.973 -64.156  -397    39
  42.860 -64.114  -336    32
  56.495 -63.992  -405    43
  56.650 -63.733  -510    42
  73.949 -63.634  -132    65
  92.080 -63.877    62    75
 162.005 -63.574   557     0
 162.650 -63.513   411     0
 167.245 -63.708   814     0
 167.710 -64.096   701     0
 -75.105 -64.461    12    14
 -70.700 -64.261  -198    28
  22.400 -65.388  -813    51
  22.865 -64.888  -730    42
  25.476 -64.799  -897    52
  25.516 -65.298 -1126    75
  27.071 -65.000 -1279    71
  28.382 -64.777 -1408    72
  37.265 -64.635  -910    47
  38.000 -64.567  -896    46
  38.610 -64.510 -1165    61
  40.200 -64.503  -433    38
 153.490 -64.623   -32    22
 172.055 -65.433   452    10
 172.555 -65.358   296    12
 -74.760 -64.610   -71    16
 -69.625 -64.533    94    41
 -69.465 -64.574    35    48
 -27.510 -65.200  -931    43
 -27.195 -65.355  -728    36
  21.430 -66.431  -708    64
  21.895 -65.931  -780    59
  25.571 -66.001 -1008    86
  26.854 -66.000 -1192    78
 171.455 -65.523   462    17
 171.550 -65.509   507     9
-128.011 -66.017   247     5
-127.115 -66.298   327     5
-119.990 -66.149    48    14
-104.532 -66.244  -210    50
 -84.612 -66.147  -519    38
 -75.545 -66.465  -337    21
 -75.215 -66.216  -156    17
 -74.245 -66.425  -987    51
 -26.700 -65.598  -624    33
 -26.000 -65.942  -176    17
 -25.180 -66.345  -130    16
  21.345 -66.522  -634    61
  23.095 -66.767 -1207    86
  24.065 -66.991 -1201    95
  24.985 -66.999 -1104    95
  25.856 -66.765 -1070    97
  26.915 -66.621 -1088    85
  28.000 -66.610  -958    84
  28.988 -66.591  -808    86
  29.638 -66.579  -780    88
-132.515 -67.339    42    14
-132.375 -67.424   160    11
-130.804 -67.021   352     5
-130.005 -67.010   236    11
-128.959 -66.937   326    10
-128.000 -67.202   554     8
-126.992 -67.250   617     8
-126.246 -67.131   717     5
-119.980 -66.512    97    12
-109.925 -67.023    91    29
-104.538 -67.002  -358    55
 -84.517 -66.576  -666    47
 -84.485 -66.720  -565    46
 -81.173 -67.428  -703    31
 -80.000 -66.751  -576    34
 -79.000 -67.001  -810    46
 -78.000 -67.252  -760    55
 -77.004 -67.397  -736    57
 -73.953 -66.768  -833    55
 -73.445 -66.566  -588    41
 -24.685 -66.588  -219    19
 -24.000 -66.925  -514    29
 -23.160 -67.337  -475    27
  25.465 -67.508 -1052   118
  25.555 -67.537 -1415   119
-131.870 -67.730   299    10
-131.045 -68.230   548     8
-130.080 -67.999   690     6
-126.797 -67.743   806     7
-125.914 -67.936   831    10
-125.079 -67.801   935     7
-124.060 -67.731   947     8
-109.975 -67.713   289    31
-104.545 -68.003  -316    56
 -81.795 -68.463  -884    48
 -80.979 -68.075  -944    43
 -80.000 -67.947  -840    30
 -39.985 -68.486  -808    60
 -28.935 -68.129  -578    41
 -28.000 -68.126  -531    37
 -27.000 -68.123  -459    33
 -26.315 -68.121  -745    45
 -22.665 -67.581  -670    34
 -22.000 -67.907  -641    34
 -21.145 -68.327  -725    39
  -4.615 -67.521  -143    22
  -1.635 -67.774    17    28
  -1.445 -67.662    13    26
 176.040 -69.280   510    17
-130.550 -68.529   543    11
-129.785 -68.599   722    10
-129.415 -68.807   754    12
-124.870 -68.659   850    13
-104.552 -69.005  -287    68
 -98.850 -69.065  -421    44
 -98.070 -68.921  -431    40
 -89.655 -69.390  -155    41
 -89.000 -69.313  -494    50
 -88.000 -69.196  -361    54
 -87.000 -69.079  -306    53
 -86.000 -68.963  -226    50
 -85.000 -68.846  -281    43
 -83.945 -68.723  -552    38
 -83.000 -68.610  -646    49
 -82.300 -68.525  -869    55
 -80.820 -68.504 -1126    63
 -79.625 -68.631  -675    60
 -79.375 -68.543  -626    45
 -31.545 -69.492  -858    66
 -31.000 -69.410  -875    66
 -30.000 -69.260  -872    64
 -29.000 -69.110  -770    55
 -28.350 -69.013  -558    41
 -20.650 -68.571  -527    33
 -20.000 -68.890  -601    39
 -19.089 -69.332  -592    44
-104.558 -69.722  -292    81
-103.510 -69.986  -276    59
-102.995 -69.609  -253    53
-102.000 -69.500  -145    51
-101.000 -69.500  -199    51
-100.000 -69.500  -100    43
 -99.000 -69.500  -347    51
 -98.000 -69.500  -274    43
 -97.000 -69.500  -173    36
 -96.485 -69.500  -946    36
 -33.905 -69.846  -798    73
 -33.000 -69.710  -834    71
 -32.050 -69.568  -834    69
 -18.580 -69.518  -669    48
 -18.000 -69.646  -488    41
 -17.000 -69.867  -316    35
 -16.450 -69.989  -514    43
 121.350  88.555  -158    65
 125.000  88.723  -268    73
 129.200  88.917   185    51
 100.500  87.592  -355    64
 105.000  87.800  -553    77
 110.000  88.031  -342    70
 115.000  88.262  -589    83
 118.800  88.437  -392    76
  77.150  86.515   149     2
  80.000  86.646   612     2
  85.000  86.877   475     2
  90.000  87.108  -248    33
