0 9.4495
1 9.41425
2 9.37943
3 9.34507
3 9.34507
4 9.31116
5 9.27771
6 9.24474
7 9.21226
8 9.18027
9 9.14879
10 9.11782
11 9.08737
12 9.05746
13 9.02809
14 8.99927
15 8.97101
15 8.97101
16 8.94333
17 8.91623
18 8.88971
19 8.8638
20 8.8385
21 8.81382
22 8.78976
23 8.76635
24.4 8.73446
24.4 8.73446
25 8.72092
26 8.69847
27 8.67618
28 8.65406
29 8.6321
30 8.61031
31 8.58869
32 8.59489
33 8.5996
34 8.60127
35 8.59962
40 8.55472
45 8.47943
50 8.37499
60 8.38809
70 8.46287
80 8.41008
80 8.41008
90 8.5541
100 8.83995
110 9.16915
120 9.11004
130 8.86774
140 8.60192
150 8.17164
160 7.17092
170 6.72639
180 6.55672
190 6.36836
200 6.1495
210 5.89588
220 5.64883
220 5.64883
230 5.42278
240 5.20056
250 4.97718
260 4.74285
270 4.4981
280 4.25834
290 4.03871
300 3.8475
310 3.68052
320 3.53233
330 3.39736
340 3.2715
350 3.15813
360 3.06173
370 2.97829
380 2.89917
390 2.82565
400 2.75903
400 2.75903
410 2.70077
420 2.65169
430 2.608
440 2.5684
450 2.53248
460 2.49695
470 2.4679
480 2.45697
490 2.44854
500 2.43939
510 2.42945
520 2.41868
530 2.40682
540 2.39408
550 2.38038
560 2.36557
570 2.34761
580 2.31844
590 2.28146
600 2.2415
600 2.2415
610 2.20334
620 2.17151
630 2.14847
640 2.12965
650 2.11083
660 2.10906
670 2.10182
670 2.10182
685.3 1.18415
735.3 0.961005
771 0.859271
771 0.859271
785.3 0.824999
835.3 0.715027
885.3 0.593057
935.3 0.51479
985.3 0.401815
1035.3 0.313605
1085.3 0.24818
1135.3 0.188315
1185.3 0.136683
1235.3 0.0925129
1285.3 0.0569578
1335.3 0.02949
1385.3 0.0110223
1435.3 0.00139688
1485.3 0.000719386
1535.3 0.00831909
1585.3 0.0236403
1635.3 0.0467329
1685.3 0.0778589
1735.3 0.118666
1785.3 0.169031
1835.3 0.230305
1885.3 0.301511
1935.3 0.38443
1985.3 0.476103
2035.3 0.574434
2085.3 0.676767
2135.3 0.785402
2185.3 0.894695
2235.3 1.00508
2285.3 1.12279
2335.3 1.25302
2385.3 1.4013
2435.3 1.56488
2485.3 1.73042
2535.3 1.89965
2585.3 2.09566
2635.3 2.49236
2685.3 3.2817
2735.3 3.87759
2741 3.9035
2741 3.9035
2785.3 3.98318
2835.3 4.19567
2885.3 5.04875
2891 5.13661
