0 3.30732 2.29621 2.23098 2.86375 2.90288 2.98116
1 3.29499 2.2965 2.22437 2.86615 2.89425 2.96221
2 3.28282 2.29694 2.22146 2.86714 2.88627 2.94496
3 3.2708 2.29754 2.22353 2.86635 2.87892 2.92963
3 3.2708 2.29754 2.22353 2.86635 2.87892 2.92963
4 3.25894 2.29828 2.23184 2.86339 2.87221 2.91644
5 3.24725 2.29915 2.24403 2.85913 2.86616 2.90561
6 3.23572 2.30016 2.25762 2.85443 2.86076 2.89737
7 3.22436 2.3013 2.27239 2.84933 2.85603 2.89192
8 3.21317 2.30257 2.28813 2.84386 2.85196 2.88947
9 3.20217 2.30395 2.30465 2.83806 2.84856 2.88893
10 3.19134 2.30544 2.32174 2.83197 2.84584 2.88955
11 3.18069 2.30705 2.33918 2.82562 2.8438 2.89124
12 3.17024 2.30875 2.35678 2.81904 2.84244 2.8939
13 3.15997 2.31055 2.37432 2.81228 2.84178 2.89744
14 3.1499 2.31245 2.3916 2.80537 2.84182 2.90177
15 3.14002 2.31443 2.40841 2.79834 2.84256 2.9068
15 3.14002 2.31443 2.40841 2.79834 2.84256 2.9068
16 3.13034 2.31649 2.42449 2.79123 2.84405 2.91243
17 3.12087 2.31862 2.43888 2.78408 2.84669 2.91857
18 3.11161 2.32083 2.45147 2.77692 2.85053 2.92512
19 3.10255 2.3231 2.46248 2.76979 2.85543 2.932
20 3.09371 2.32544 2.47211 2.76272 2.86127 2.93911
21 3.08509 2.32782 2.48057 2.75575 2.86789 2.94635
22 3.07669 2.33026 2.48808 2.74891 2.87518 2.95365
23 3.06851 2.33274 2.49485 2.74225 2.883 2.96089
24.4 3.05737 2.33638 2.50348 2.73327 2.89459 2.97078
24.4 3.05737 2.33638 2.50348 2.73327 2.89459 2.97078
25 3.05264 2.33811 2.50701 2.72957 2.89971 2.97487
26 3.0448 2.34123 2.51282 2.72363 2.90833 2.98141
27 3.03702 2.34463 2.51873 2.71801 2.91694 2.98754
28 3.02929 2.34829 2.52495 2.71273 2.92543 2.99316
29 3.02163 2.35221 2.5317 2.70784 2.93365 2.99817
30 3.01402 2.35637 2.53918 2.70337 2.94147 3.00249
31 3.00647 2.36075 2.5476 2.69936 2.94877 3.00602
32 2.99899 2.36534 2.55718 2.69575 2.9554 3.00866
33 2.99157 2.37012 2.56813 2.69219 2.96123 3.01034
34 2.98422 2.37509 2.58066 2.68866 2.96614 3.01094
35 2.97693 2.38023 2.59497 2.68516 2.96999 3.01039
40 2.94154 2.40811 2.79138 2.66821 2.97859 2.9948
45 2.908 2.44808 2.8313 2.6523 2.96858 2.96567
50 2.87648 2.50153 2.86761 2.63769 2.93217 2.93017
60 2.82013 2.64947 2.93711 2.61745 2.74226 2.86858
70 2.77376 2.72303 2.96374 2.59208 2.63441 2.86344
80 2.73759 2.77666 2.94578 2.54442 2.55527 2.91589
80 2.73759 2.77666 2.94578 2.54442 2.55527 2.91589
90 2.70812 2.81739 2.88565 2.49879 2.59911 2.99687
100 2.681 2.84615 2.77905 2.44982 2.68196 3.09778
110 2.65196 2.84394 2.6374 2.3716 2.76038 3.21402
120 2.61673 2.7981 2.46349 2.30315 2.8054 3.19419
130 2.57219 2.71027 2.27355 2.2439 2.73624 3.11014
140 2.52357 2.59713 2.0812 2.17148 2.55515 3.01784
150 2.47225 2.46447 1.92473 2.0771 2.36758 2.86784
160 2.41822 2.29346 1.7945 2.00377 2.18759 2.51755
170 2.36242 2.0908 1.67754 1.91705 1.96535 2.30598
180 2.30384 1.93279 1.5674 1.81537 1.73854 2.08991
190 2.23875 1.6762 1.46765 1.73034 1.62419 1.85218
200 2.16298 1.49361 1.33743 1.65381 1.52705 1.57409
210 2.07493 1.36682 1.22539 1.58212 1.45945 1.45289
220 1.98908 1.25398 1.13125 1.51357 1.41649 1.36885
220 1.98908 1.25398 1.13125 1.51357 1.41649 1.36885
230 1.91052 1.14436 1.04025 1.44897 1.37461 1.29519
240 1.83324 1.03763 0.952642 1.39051 1.33305 1.22747
