0 7.5596 5.24848 5.09939 6.54571 6.63515 6.81407
1 7.53142 5.24914 5.08427 6.55119 6.61544 6.77077
2 7.50358 5.25015 5.07761 6.55347 6.59718 6.73134
3 7.47611 5.25151 5.08234 6.55166 6.58038 6.6963
3 7.47611 5.25151 5.08234 6.55166 6.58038 6.6963
4 7.449 5.25319 5.10134 6.54488 6.56505 6.66615
5 7.42226 5.2552 5.12921 6.53513 6.55121 6.64139
6 7.39591 5.25751 5.16026 6.52439 6.53887 6.62254
7 7.36994 5.26011 5.19401 6.51273 6.52804 6.61008
8 7.34436 5.26299 5.23 6.50022 6.51873 6.60447
9 7.31919 5.26614 5.26775 6.48696 6.51095 6.60324
10 7.29444 5.26955 5.3068 6.47303 6.50472 6.60465
11 7.2701 5.27321 5.34666 6.4585 6.50005 6.60849
12 7.24618 5.27709 5.38687 6.44347 6.49695 6.61457
13 7.2227 5.2812 5.42695 6.428 6.49543 6.62265
14 7.19966 5.28552 5.46644 6.41219 6.49551 6.63254
15 7.17708 5.29003 5.50486 6.39611 6.49719 6.64401
15 7.17708 5.29003 5.50486 6.39611 6.49719 6.64401
16 7.15495 5.29473 5.5416 6.37985 6.50056 6.65686
17 7.13328 5.2996 5.57448 6.36349 6.5066 6.67088
18 7.11209 5.30464 5.60324 6.34711 6.51536 6.68584
19 7.09137 5.30982 5.62838 6.33079 6.52655 6.70154
20 7.07115 5.31514 5.65037 6.31461 6.53986 6.71777
21 7.05142 5.32058 5.66971 6.29866 6.55499 6.73432
22 7.03219 5.32613 5.68686 6.28302 6.57163 6.75097
23 7.01347 5.33179 5.70231 6.26776 6.58949 6.76751
24.4 6.98799 5.34009 5.72201 6.24722 6.61594 6.79007
24.4 6.98799 5.34009 5.72201 6.24722 6.61594 6.79007
25 6.97716 5.34403 5.73006 6.23875 6.62762 6.79941
26 6.95922 5.35114 5.74331 6.22516 6.64729 6.81435
27 6.94141 5.35888 5.7568 6.21228 6.66697 6.82833
28 6.92373 5.36724 5.771 6.2002 6.68634 6.84114
29 6.90618 5.37617 5.7864 6.189 6.7051 6.85257
30 6.88876 5.38565 5.80347 6.17876 6.72295 6.86241
31 6.87149 5.39564 5.82271 6.16956 6.73959 6.87044
32 6.85436 5.40611 5.84458 6.16127 6.75472 6.87646
33 6.83737 5.41702 5.86958 6.15312 6.76803 6.88026
34 6.82053 5.42835 5.89818 6.14503 6.77922 6.88161
35 6.80384 5.44006 5.93086 6.137 6.78798 6.88031
40 6.72278 5.50366 6.3796 6.09809 6.80746 6.8445
45 6.64594 5.59483 6.47064 6.06157 6.78438 6.77772
50 6.57369 5.7168 6.55342 6.02798 6.70095 6.69638
60 6.44443 6.05444 6.71175 5.98126 6.26648 6.55514
70 6.33788 6.22197 6.77199 5.92276 6.01948 6.54282
80 6.25461 6.34386 6.73026 5.81327 5.83805 6.66198
80 6.25461 6.34386 6.73026 5.81327 5.83805 6.66198
90 6.18654 6.43617 6.59212 5.70836 5.93752 6.84618
100 6.12381 6.50102 6.34777 5.59575 6.12598 7.07579
110 6.0566 6.49504 6.02334 5.4163 6.3042 7.34023
120 5.9752 6.38934 5.62528 5.25915 6.40601 7.29379
130 5.87248 6.18772 5.19067 5.12299 6.24702 7.10065
140 5.76041 5.92833 4.75065 4.95671 5.83251 6.88866
150 5.64215 5.62439 4.39259 4.74034 5.40328 6.54496
160 5.51766 5.23299 4.09451 4.57201 4.99143 5.74431
170 5.38914 4.76951 3.82678 4.37314 4.48334 5.26038
180 5.25424 4.408 3.57468 4.14021 3.96499 4.76635
190 5.10449 3.82185 3.34633 3.94529 3.70325 4.22309
200 4.93041 3.40462 3.0486 3.76978 3.48085 3.58807
210 4.72839 3.11472 2.79244 3.60536 3.32582 3.31086
220 4.5314 2.85674 2.57715 3.44813 3.22697 3.11843
220 4.5314 2.85674 2.57715 3.44813 3.22697 3.11843
230 4.35109 2.60622 2.36911 3.29994 3.13059 2.94972
240 4.17374 2.36237 2.16888 3.16578 3.03495 2.79459
250 3.99538 2.16851 1.9963 3.05107 2.93972 2.67293
260 3.80822 2.04023 1.87097 2.94569 2.84457 2.5758
270 3.61268 1.95473 1.7775 2.83757 2.74067 2.47192
280 3.42118 1.89614 1.70839 2.70455 2.61016 2.33377
290 3.2459 1.84893 1.65793 2.54735 2.46148 2.16514
300 3.09354 1.8 1.61315 2.46673 2.24614 1.97855
310 2.96056 1.7534 1.57249 2.40383 2.05681 1.76284
320 2.84247 1.71867 1.53753 2.34468 1.91627 1.5332
330 2.73484 1.69856 1.5098 2.28746 1.83426 1.35462
340 2.63443 1.68599 1.48984 2.23023 1.78808 1.21328
350 2.54401 1.68081 1.4747 2.17135 1.74261 1.11442
360 2.46725 1.68335 1.46263 2.11782 1.69786 1.06282
370 2.40095 1.69612 1.45208 2.07548 1.65384 1.04813
380 2.3382 1.71546 1.44157 2.04165 1.61056 1.06522
390 2.28007 1.73612 1.42965 2.01311 1.56743 1.09087
400 2.22764 1.75301 1.41494 1.98675 1.52245 1.11845
400 2.22764 1.75301 1.41494 1.98675 1.52245 1.11845
410 2.18192 1.76122 1.39609 1.95974 1.47698 1.14826
420 2.14345 1.75146 1.3697 1.934 1.43273 1.18451
430 2.10919 1.71692 1.33424 1.90999 1.39132 1.22971
440 2.07817 1.67046 1.29499 1.88626 1.35434 1.23595
450 2.05009 1.61532 1.25716 1.86142 1.32298 1.21577
460 2.02233 1.55353 1.22573 1.83417 1.29384 1.18003
470 1.99988 1.47517 1.20522 1.80322 1.26537 1.13816
480 1.9922 1.38889 1.19447 1.76817 1.23748 1.089
490 1.98673 1.31552 1.19065 1.73225 1.2101 1.03478
500 1.98088 1.26254 1.19165 1.69605 1.18313 0.98013
510 1.97442 1.22742 1.19543 1.65971 1.1565 0.929457
520 1.96712 1.21568 1.20006 1.62335 1.13013 0.886954
530 1.95881 1.21659 1.20369 1.58708 1.10396 0.855675
540 1.94971 1.22167 1.20454 1.55101 1.0779 0.832362
550 1.9398 1.23118 1.20097 1.51527 1.05191 0.818541
560 1.92902 1.24142 1.1914 1.48002 1.02592 0.813964
570 1.91574 1.24369 1.17443 1.4451 0.999877 0.811238
