0 9.4495 6.5606 6.37424 8.18213 8.29394 8.51759
1 9.41425 6.56141 6.35532 8.18897 8.26928 8.46344
2 9.37943 6.56266 6.34698 8.1918 8.24643 8.41414
3 9.34507 6.56434 6.35288 8.18951 8.22541 8.37031
3 9.34507 6.56434 6.35288 8.18951 8.22541 8.37031
4 9.31116 6.56643 6.37661 8.18101 8.20623 8.3326
5 9.27771 6.56891 6.41143 8.16881 8.18891 8.30164
6 9.24474 6.57178 6.45022 8.15536 8.17346 8.27804
7 9.21226 6.57502 6.4924 8.14076 8.1599 8.26245
8 9.18027 6.57861 6.53737 8.12512 8.14824 8.25543
9 9.14879 6.58253 6.58454 8.10852 8.1385 8.25386
10 9.11782 6.58677 6.63333 8.09109 8.1307 8.2556
11 9.08737 6.59133 6.68314 8.07291 8.12484 8.26039
12 9.05746 6.59617 6.73339 8.05409 8.12095 8.26796
13 9.02809 6.60129 6.78347 8.03474 8.11903 8.27805
14 8.99927 6.60667 6.83282 8.01496 8.1191 8.29039
15 8.97101 6.6123 6.88082 7.99484 8.12119 8.30471
15 8.97101 6.6123 6.88082 7.99484 8.12119 8.30471
16 8.94333 6.61815 6.92673 7.9745 8.12538 8.32075
17 8.91623 6.62423 6.9678 7.95403 8.1329 8.33825
18 8.88971 6.6305 7.00374 7.93353 8.14384 8.35693
19 8.8638 6.63696 7.03515 7.91311 8.1578 8.37654
20 8.8385 6.64359 7.06262 7.89287 8.17442 8.3968
21 8.81382 6.65038 7.08677 7.87292 8.19331 8.41746
22 8.78976 6.6573 7.10819 7.85335 8.21409 8.43825
23 8.76635 6.66436 7.12749 7.83426 8.23639 8.4589
24.4 8.73446 6.67471 7.15209 7.80856 8.26943 8.48708
24.4 8.73446 6.67471 7.15209 7.80856 8.26943 8.48708
25 8.72092 6.67963 7.16213 7.79796 8.28402 8.49874
26 8.69847 6.68849 7.17868 7.78095 8.30858 8.51739
27 8.67618 6.69816 7.19552 7.76483 8.33315 8.53484
28 8.65406 6.70858 7.21325 7.74971 8.35734 8.55083
29 8.6321 6.71973 7.23248 7.73569 8.38077 8.56509
30 8.61031 6.73156 7.2538 7.72287 8.40306 8.57737
31 8.58869 6.74403 7.27782 7.71136 8.42384 8.58739
